,f1_score1,f1_score2,f1_score,roc_auc,recall,prec,acc,score_arr,depth,num_node,can,score_train
0,0.7619047619047619,0.7613636363636364,0.75,0.7613636363636364,0.75,0.75,0.7619047619047619,"[[15  5]
 [ 5 17]]",5,9,"[1, 1, 2]",0.9397590361445783
1,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.715909090909091,0.75,0.6818181818181818,0.7142857142857143,"[[15  5]
 [ 7 15]]",5,10,"[2, 1, 2]",0.9457831325301205
2,0.7857142857142857,0.7855927396483267,0.7906976744186046,0.7886363636363636,0.85,0.7391304347826086,0.7857142857142857,"[[17  3]
 [ 6 16]]",5,11,"[3, 1, 2]",0.9397590361445783
3,0.7142857142857143,0.7136363636363636,0.7,0.7136363636363636,0.7,0.7,0.7142857142857143,"[[14  6]
 [ 6 16]]",4,11,"[5, 1, 2]",0.927710843373494
4,0.7380952380952381,0.7367521367521368,0.7555555555555556,0.7431818181818182,0.85,0.68,0.7380952380952381,"[[17  3]
 [ 8 14]]",5,14,"[7, 1, 2]",0.9337349397590361
5,0.8571428571428571,0.8558352402745996,0.8421052631578948,0.8545454545454545,0.8,0.8888888888888888,0.8571428571428571,"[[16  4]
 [ 2 20]]",5,16,"[10, 1, 2]",0.9337349397590361
